Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,CP_Radial_D6.3mm_P2.50mm,86.000000,-65.000000,-90.000000,top
C2,100u,CP_Radial_D6.3mm_P2.50mm,74.000000,-31.900000,90.000000,top
C3,.01u,C_0805_2012Metric,143.400000,-35.415000,-90.000000,top
C4,.01u,C_0805_2012Metric,157.423000,-35.305000,-90.000000,top
C5,.01u,C_0805_2012Metric,157.263000,-47.765000,-90.000000,top
C6,.01u,C_0805_2012Metric,143.713000,-47.485000,-90.000000,top
C7,1u,C_1206_3216Metric,113.870000,-77.459000,-90.000000,top
C8,1u,C_1206_3216Metric,114.824615,-123.862270,-90.000000,top
C9,0.47u,C_1210_3225Metric,108.900000,-66.699000,0.000000,top
C10,0.47u,C_1210_3225Metric,109.813000,-113.212000,0.000000,top
C11,100u,CP_Radial_D6.3mm_P2.50mm,97.250000,-59.500000,90.000000,top
C12,100u,CP_Radial_D6.3mm_P2.50mm,96.750000,-101.432380,90.000000,top
C13,3.3u,B32522C0335J000,177.200000,-101.500000,-90.000000,top
C14,3.3u,B32522C0335J000,184.894000,-131.505000,90.000000,top
C15,3.3u,B32522C0335J000,169.400000,-101.500000,-90.000000,top
C16,3.3u,B32522C0335J000,169.400000,-131.505000,90.000000,top
C17,3.3u,B32522C0335J000,185.000000,-101.500000,-90.000000,top
C18,3.3u,B32522C0335J000,177.190000,-131.505000,90.000000,top
C19,.01u,C_0805_2012Metric,190.423000,-78.455000,-90.000000,top
C20,.01u,C_0805_2012Metric,181.900000,-62.150000,-90.000000,top
C21,.01u,C_0805_2012Metric,184.500000,-59.050000,90.000000,top
C22,.01u,C_0805_2012Metric,171.796500,-62.567200,-90.000000,top
C23,.01u,C_0805_2012Metric,85.590419,-55.750000,0.000000,top
C24,.01u,C_0805_2012Metric,85.223451,-47.600000,0.000000,top
C25,.01u,C_0805_2012Metric,84.200000,-30.450000,90.000000,top
C26,.01u,C_0805_2012Metric,80.550000,-72.000000,0.000000,top
C27,.01u,C_0805_2012Metric,84.970000,-39.374581,0.000000,top
C28,.01u,C_0805_2012Metric,80.800000,-30.450000,90.000000,top
C29,.01u,C_0805_2012Metric,73.462500,-58.537500,180.000000,top
C30,.01u,C_0805_2012Metric,80.518419,-56.233000,180.000000,top
C31,.01u,C_0805_2012Metric,80.123451,-47.700000,180.000000,top
C32,.01u,C_0805_2012Metric,79.870000,-39.384581,180.000000,top
C33,.01u,C_0805_2012Metric,69.000000,-35.330000,90.000000,top
